#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"     1 Ceres",55400,2.546503651127214,2.765348506018043,.07913825487621974,10.58682160714853,72.58981198193074,80.39319901972638,113.4104433863731,20090208.8561149,"JPL 30",3.34,0.12,N,,,952.4,"974.6 x 909.4",0.090,9.074170,4.5986780874241,1.5833,MBA
"     2 Pallas",55400,2.131787040235174,2.772153211365543,.2309995596581508,34.84090359779853,310.1509424754423,173.1294969268293,96.1482659817989,20090428.7401461,"JPL 25",4.13,0.11,N,,,545,582x556x500,0.1587,7.8132,4.6156625065167,1.23163,MBA
"     3 Juno",55400,1.989268123404657,2.670091231443168,.2549812156307972,12.98210935763895,248.1080652287592,169.9113817075248,32.09608333623976,20100302.9186366,"JPL 87",5.33,0.32,N,,,233.92,,0.2383,7.210,4.3631219633955,1.04125,MBA
"     4 Vesta",55400,2.152593546529499,2.361912323243681,.08862258545936168,7.13406257854299,149.8373992529071,103.9096808087324,307.8010497902699,20110131.2442474,"JPL 31",3.20,0.32,N,,,530,,0.4228,5.342,3.6299768922071,1.14074,MBA
"     5 Astraea",55400,2.086377168575985,2.577103206053531,.1904176892585622,5.368843844478006,358.3534093287288,141.6442260593325,239.0455670144377,20111212.7096673,"JPL 68",6.85,,N,,,119.07,,0.2268,16.800,4.1371943136831,1.10085,MBA
"     6 Hebe",55400,1.934160380563399,2.425640894242739,.2026188273976865,14.7522805553599,239.359742276094,138.7401809082199,331.7709355039646,20101108.2012233,"JPL 68",5.71,0.24,N,,,185.18,,0.2679,7.2745,3.7778782784541,.975441,MBA
"     7 Iris",55400,1.835622007805831,2.38562464627143,.2305486906019419,5.523459065257934,145.1738581998928,259.6615721683999,4.631607458431874,20100705.6846673,"JPL 92",5.51,,N,,,199.83,,0.2766,7.139,3.6847783728264,.848909,MBA
"     8 Flora",55400,1.856322373195319,2.201634937749143,.1568436976689951,5.888196234788878,285.2497783484484,110.9552804303705,309.2858720121024,20110107.0903769,"JPL 77",6.49,0.28,N,,,135.89,,0.2426,12.865,3.2668272149584,.874274,MBA
"     9 Metis",55400,2.094273359534456,2.386277314516564,.1223679885006429,5.574754241850924,6.266279972013546,68.94879156905442,141.4294807896794,20090209.0468083,"JPL 75",6.28,0.17,N,,,190,,0.118,5.079,3.6862906197249,1.11029,MBA
"    10 Hygiea",55400,2.773134326855345,3.139944487457659,.1168205877739295,3.84050417812304,313.0697775763516,283.4402667639163,304.372974387947,20110602.0253584,"JPL 75",5.43,,N,,,407.12,,0.0717,27.623,5.5640517079613,1.76339,MBA
"    11 Parthenope",55400,2.209421736155951,2.453020712661956,.09930571529567631,4.626122457372772,194.9450667945814,125.6106572902902,178.5710455274661,20080825.9205853,"JPL 51",6.55,,N,,,153.33,,0.1803,13.7293,3.84202357319,1.19639,MBA
