Kabul		Afghanistan	 34° 34' 01"	 69° 13' 01"	4.5	--	1788.29
Algiers		Algeria	 36° 42' 00"	 3° 13' 01"	1.0	--	17.47
Annabah		Algeria	 36° 50' 00"	 7° 49' 00"	1.0	--	2.14
Gardaia		Algeria	 32° 23' 00"	 3° 49' 00"	1.0	--	442.91
Hassi Messaoud		Algeria	 31° 40' 00"	 6° 09' 00"	1.0	--	153.02
Oran		Algeria	 35° 46' 00"	-0° 44' 59"	1.0	--	105.61
Qustantinah		Algeria	 36° 17' 00"	 6° 37' 00"	1.0	--	700.47
Satif		Algeria	 36° 11' 00"	 5° 25' 00"	1.0	--	1073.74
Tamanrasset		Algeria	 22° 47' 00"	 5° 31' 00"	1.0	--	1381.36
Tindouf		Algeria	 27° 40' 00"	-8° 08' 00"	1.0	--	392.47
Tlemcen		Algeria	 35° 01' 00"	-1° 28' 00"	1.0	--	237.76
Huambo		Angola	-13° 16' 00"	 16° 13' 00"	1.0	--	1691.59
Luanda		Angola	-8° 51' 00"	 13° 14' 00"	1.0	--	73.15
Luena		Angola	-11° 46' 00"	 19° 55' 00"	1.0	--	1349.20
Menongue		Angola	-14° 38' 00"	 17° 44' 00"	1.0	--	1461.68
Namibe		Angola	-15° 17' 00"	 12° 16' 00"	1.0	--	282.32
Soyo		Angola	-6° 02' 00"	 12° 25' 00"	1.0	--	4.00
Mount Erebus		Antarctica	-77° 27' 25"	 167° 04' 48"	11.0	--	1886.81
St. John's		Antigua and Barbuda	 17° 07' 59"	-61° 46' 59"	-4.0	--	0.00
Buenos Aires		Argentina	-34° 19' 59"	-58° 29' 59"	-3.0	--	5.63
Byurakan		Armenia	 40° 20' 01"	 44° 17' 30"	3.0	--	1393.59
Georgetown		Ascension Island	-7° 52' 47"	-14° 25' 11"	0.0	--	17.00
Adelaide	South Australia	Australia	-34° 45' 59"	 138° 32' 12"	9.5	AU	0.00
Alice Springs	Northern Territory	Australia	-23° 48' 00"	 133° 54' 00"	9.5	--	545.25
Avalon	New South Wales	Australia	-33° 38' 01"	 151° 19' 57"	10.0	AU	18.50
Avalon	Victoria	Australia	-38° 05' 06"	 144° 25' 48"	10.0	AU	2.65
Bendigo	Victoria	Australia	-36° 45' 59"	 144° 16' 59"	10.0	AU	233.39
Brisbane	Queensland	Australia	-27° 29' 59"	 153° 10' 00"	10.0	--	11.29
Canberra	ACT	Australia	-35° 21' 00"	 149° 10' 00"	10.0	--	572.62
Christmas Island		Australia	-10° 30' 00"	 105° 40' 00"	7.0	--	216.29
Cocos Island		Australia	-12° 10' 59"	 96° 49' 59"	6.5	--	0.00
Coonabarabran		Australia	-31° 16' 06"	 149° 04' 00"	10.0	AU	999.91
Culgoora		Australia	-30° 18' 09"	 149° 33' 45"	10.0	AU	213.68
Darwin	Northern Territory	Australia	-12° 25' 11"	 130° 50' 12"	9.5	--	13.59
Hobart	Tasmania	Australia	-42° 52' 57"	 147° 19' 48"	10.0	AU	12.12
Ipswich	Queensland	Australia	-27° 37' 59"	 152° 43' 00"	10.0	--	24.59
Kings Beach	Queensland	Australia	-26° 48' 00"	 153° 05' 59"	10.0	--	10.71
Latham	ACT	Australia	-35° 21' 00"	 149° 10' 11"	10.0	--	567.24
Learmonth	Western Australia	Australia	-22° 14' 12"	 114° 04' 59"	8.0	--	7.72
Melbourne	Victoria	Australia	-37° 51' 59"	 145° 07' 59"	10.0	AU	113.26
Molonglo		Australia	-35° 22' 03"	 149° 25' 30"	10.0	--	738.00
Mount Pleasant		Australia	-42° 48' 03"	 147° 26' 15"	10.0	--	22.03
Mount Stromlo		Australia	-35° 19' 02"	 149° 00' 29"	10.0	--	751.86
New Castle	New South Wales	Australia	-32° 47' 59"	 151° 49' 59"	10.0	AU	4.30
Parkes		Australia	-33° 00' 00"	 148° 15' 45"	10.0	AU	374.45
Pearce	Western Australia	Australia	-31° 40' 00"	 116° 01' 00"	8.0	--	42.30
Perth	Western Australia	Australia	-31° 49' 59"	 116° 10' 00"	8.0	--	274.20
Richmond	New South Wales	Australia	-33° 36' 00"	 150° 46' 59"	10.0	AU	19.61
Sale	Victoria	Australia	-38° 06' 00"	 147° 09' 00"	10.0	AU	5.76
Siding Spring		Australia	-31° 16' 04"	 149° 03' 45"	10.0	AU	996.45
Sydney	New South Wales	Australia	-33° 54' 59"	 151° 16' 59"	10.0	AU	0.00
Townsville	Queensland	Australia	-19° 15' 00"	 146° 46' 00"	10.0	--	6.94
Uppsala Sur		Australia	-31° 16' 06"	 149° 04' 00"	10.0	AU	999.91
Innsbruck		Austria	 47° 15' 35"	 11° 20' 23"	1.0	EU	580.00
Kanzelhoehe		Austria	 46° 40' 07"	 13° 54' 29"	1.0	EU	931.17
Kuffner		Austria	 48° 12' 08"	 16° 17' 44"	1.0	EU	257.34
