# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
C Western
# Andromeda
M 358
D 3627
D 6860
D 12533
M 358
D 3369
D 5448
D 9927
# 
# Antlia
M 94890
D 90610
D 84367
D 82150
# 
# Apus
M 129078
D 145366
D 147675
D 149324
# 
# Aquarius
M 204867
D 205767
D 201381
D 198001
D 198026
D 204867
D 209750
D 212571
D 213051
D 212061
D 209750
D 211391
D 209819
M 213051
D 213998
D 216386
D 219215
D 219449
D 220321
D 218594
D 216627
D 216032
D 216386
# 
# Aquila
M 176678
D 177756
D 182640
D 177724
D 186791
D 187642
D 188512
D 191692
D 187929
D 182640
M 176411
D 177724
# 
# Ara
M 158427
D 165024
D 157244
D 157246
D 158094
D 151249
D 152786
D 158427
# 
# Aries
M 11502
D 11636
D 12929
D 17573
# 
# Auriga
M 34029
D 31964
D 32630
D 32068
D 31398
D 35497
D 40312
D 40183
D 34029
# 
# Bootes
M 121370
D 124897
D 127665
D 127762
D 133208
D 135722
D 129988
D 124897
D 129246
# 
# Caelum
M 29875
D 29992
# 
# Camelopardalis
M 21291
D 23401
D 30614
D 31910
D 31278
# 
# Cancer
M 76756
D 74442
D 74198
D 74739
M 74442
D 69267
# 
# Canes Venatici
M 112412
D 109358
# 
# Canis Major
M 44743
D 48915
D 53138
D 54605
D 52877
D 52089
M 54605
D 58350
# 
# Canis Minor
M 61421
D 58715
# 
# Capricornus
M 192947
D 193495
D 194943
D 197692
D 198542
D 200914
D 204075
D 204381
D 205637
D 207098
D 206088
D 203387
D 200761
D 192947
# 
# Carina
M 45348
D 65575
D 71129
D 80404
D 91465
D 93030
D 89080
D 80007
# 
# Cassiopeia
M 11415
D 8538
D 5394
D 3712
D 432
# 
# Centaurus
M 123139
D 120307
D 127972
D 132200
M 120307
D 117440
D 115892
M 120307
D 120324
D 121263
D 118716
D 110304
D 120307
M 110304
D 108483
D 105435
D 105937
# 
# Cepheus
M 203280
D 210745
D 216228
D 222404
D 205021
D 203280
# 
# Cetus
M 11353
D 8512
D 6805
D 1522
D 4128
D 10700
D 11353
D 14386
D 16582
D 16970
D 16161
D 15318
D 17094
D 18604
D 18884
D 16970
# 
# Chamaeleon
M 71243
D 92305
D 106911
D 93845
D 71243
# 
# Circinus
M 128898
D 135379
# 
# Columba
M 44762
D 43785
D 40494
D 39425
D 37795
D 36597
M 39425
D 40808
# 
# Coma Berenices
M 114378
D 114710
D 108381
# 
# Corona Australis
M 175813
D 177474
D 178253
D 178345
D 177873
D 176638
# 
# Corona Borealis
M 138749
D 137909
D 139006
D 140436
D 141714
D 143107
D 143807
# 
# Corvus
M 105452
D 105707
D 106625
D 108767
D 109379
D 105707
# 
# Crater
M 103632
D 102070
D 99211
D 97277
D 95272
D 98430
D 99211
M 100889
D 99167
D 98430
# 
# Crux
M 108903
D 108249
M 111123
D 106490
# 
# Cygnus
M 183914
D 188947
D 194093
D 197345
M 202109
D 197989
D 194093
D 186882
D 184006
# 
# Delphinus
M 195810
D 196524
D 196867
D 197963
D 197461
D 196524
# 
# Dorado
M 27290
D 29305
D 37350
D 39014
# 
# Draco
M 163588
D 164058
D 159181
D 159541
D 163588
D 180711
D 188119
D 181984
D 170153
D 162003
D 155763
D 148387
D 144284
D 137759
D 123299
D 109387
D 100029
# 
# Equuleus
M 202447
D 201601
D 202275
D 203562
# 
# Eridanus
M 33328
D 33111
D 31109
D 30211
D 29248
D 26574
D 25025
D 23614
D 23249
D 22049
D 18322
D 17081
D 17206
D 18978
D 20720
D 22203
D 23754
D 24587
D 25267
D 29085
D 29291
D 28028
D 27376
D 24160
D 24072
D 22663
D 20794
D 18623
D 16815
D 16754
D 15371
D 14228
D 11937
D 10144
# 
# Fornax
M 20010
D 17652
D 12767
# 
# Gemini
M 42995
D 44478
D 48329
D 54719
D 58946
D 60178
D 62044
D 62509
D 62345
D 56986
D 52973
D 47105
D 48737
M 56986
D 56537
# 
# Grus
M 217364
D 215789
D 214952
D 213009
D 213080
D 209688
D 207971
M 218227
D 218670
D 214952
D 209952
# 
# Hercules
M 147547
D 148856
D 150680
D 150997
D 156283
D 153808
D 150680
M 153808
D 156164
D 161797
D 163993
D 166014
M 156283
D 157778
D 163770
M 156283
D 160762
M 150997
D 149630
D 147394
D 145389
D 142373
# 
# Horologium
M 26967
D 17051
D 16555
D 16920
D 19319
D 18866
# 
# Hydra
M 123123
D 115659
D 103192
D 100407
D 93813
D 90432
D 88284
D 87504
D 85444
D 81797
D 83618
D 79469
D 76294
D 74280
D 73471
D 73262
D 74874
D 76294
# 
# Hydrus
M 2151
D 24512
D 16978
D 15008
D 12311
# 
# Indus
M 196171
D 202730
D 208450
M 202730
D 198700
# 
# Lacerta
M 212496
D 213558
D 212593
D 213310
D 212120
D 213420
D 211388
# 
# Leo
M 97633
D 102647
D 97603
D 97633
D 87901
D 87737
D 89484
D 89025
D 85503
D 84441
# 
# LeoMinor
M 87696
D 90537
D 94264
# 
# Lepus
M 33904
D 36673
D 39364
D 38393
D 36079
D 36673
M 36079
D 32887
# 
# Libra
M 139365
D 139063
D 133216
D 130841
D 135742
D 138905
D 133216
# 
# Lupus
M 144294
D 143118
D 138690
D 136504
D 134482
D 134505
D 129056
D 132058
D 136298
D 138690
M 136298
D 136422
D 141556
# 
# Lynx
M 80493
D 80081
D 70272
D 58142
D 50522
D 43378
# 
# Lyra
M 168775
D 172167
D 173649
D 175588
D 176437
D 174638
D 173649
M 173607
D 172167
# 
# Mensa
M 43834
D 37763
D 32440
D 33285
# 
# Microscopium
M 203006
D 202627
D 199951
D 198232
# 
# Monoceros
M 67594
D 61935
D 55185
D 49293
D 44769
D 46300
M 55185
D 45725
D 43232
# 
# Musca
M 102249
D 102584
D 106849
D 109668
D 110879
D 114911
D 112985
D 109026
D 109668
# 
# Norma
M 147971
D 146686
D 143546
# 
# Octans
M 124882
D 223647
D 214846
D 124882
# 
# Ophiuchus
M 157919
D 157056
D 157792
D 156897
D 155125
D 149757
D 146791
D 146051
D 148857
D 153210
D 159561
D 161096
D 161868
D 155125
M 161868
D 163917
# 
# Orion
M 39801
D 36861
D 35468
D 36486
D 34085
D 38771
D 37742
D 39801
M 39801
D 40932
D 42560
D 41753
D 41117
M 42560
D 43042
M 35468
D 30652
M 31295
D 30739
D 30652
D 30836
D 31237
D 31767
# 
# Pavo
M 203608
D 197051
D 190248
D 160635
D 171759
D 188228
D 197051
D 193924
# 
# Pegasus
M 217906
D 358
D 886
D 218045
D 217906
D 215182
D 210027
D 206901
M 217906
D 216131
D 215665
D 206859
D 203504
M 218045
D 215648
D 214923
D 210418
D 206778
# 
# Perseus
M 10516
D 17506
D 18925
D 20902
D 19476
D 19356
D 19058
D 17584
M 20902
D 22928
D 24760
D 24912
D 24398
D 23180
# 
# Phoenix
M 9362
D 9053
D 6595
D 2261
D 496
D 221760
D 222287
D 224554
M 496
D 4150
M 6595
D 6882
# 
# Pictor
M 50241
D 39523
D 39060
# 
# Pisces
M 7106
D 7964
D 7318
D 9270
D 10761
D 12446
D 10380
D 6186
D 4656
D 224617
D 222368
D 220954
D 220009
D 219615
D 220825
D 222603
D 223075
D 222368
# 
# Piscis Austrinus
M 216956
D 214748
D 210934
D 207155
D 206742
D 210049
D 213398
D 216336
D 216763
D 216956
# 
# Puppis
M 67523
D 63700
D 61555
D 60863
D 56855
D 47670
D 50310
D 64760
D 63922
D 66811
D 67523
# 
# Pyxis
M 74006
D 74575
D 75691
# 
# Reticulum
M 23817
D 27256
D 27442
D 25728
D 25422
D 25705
D 23817
# 
# Sagitta
M 189319
D 187076
D 185758
M 187076
D 185958
# 
# Sagittarius
M 167618
D 169022
D 165135
D 168454
D 169916
D 166937
M 169916
D 173300
D 175191
D 177716
D 176687
D 173300
M 176687
D 169022
D 168454
M 177716
D 184707
D 188603
D 189763
D 189118
D 189103
D 188114
D 181869
M 188114
D 181454
# 
# Scorpius
M 142669
D 143018
D 143275
D 144218
D 145502
M 143275
D 147165
D 148478
D 149438
D 151680
D 151890
D 152334
D 155203
D 159532
D 161471
D 160578
D 158926
# 
# Sculptor
M 5737
D 223352
D 219784
D 221507
# 
# Scutum
M 173764
D 171443
D 169156
M 171443
D 170296
# 
# Serpens Caput
M 141513
D 141795
D 140573
D 138917
D 141003
D 141477
D 142860
D 141003
# 
# Serpens Cauda
M 175639
D 168723
D 163917
D 160613
D 159876
D 156928
# 
# Sextans
M 85558
D 87887
D 90994
# 
# Taurus
M 21120
D 25204
D 27371
D 27697
D 28305
D 23630
M 28305
D 29763
D 35497
M 27371
D 28319
D 29139
D 37202
# 
# Telescopium
M 166063
D 169467
D 169767
# 
# Triangulum
M 13161
D 11443
D 14055
D 13161
# 
# Triangulum Australe
M 150798
D 141891
D 138538
D 135382
# 
# Tucana
M 211416
D 219571
D 1581
D 2885
M 1581
D 224686
# 
# Ursa Major
M 120315
D 116656
D 112185
D 106591
D 103287
D 95418
D 95689
D 106591
M 103287
D 102224
D 98262
D 98230
M 102224
D 96833
D 89758
D 89021
M 95418
D 84999
D 85235
D 82621
D 82328
D 76644
D 77327
M 95689
D 81937
D 71369
D 84999
# 
# Ursa Minor
M 142105
D 148048
D 137422
D 131873
D 142105
D 153751
D 166205
D 8890
# 
# Vela
M 68243
D 74956
D 81188
D 86440
D 93497
D 92139
D 91504
D 88955
