#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"    1P/Halley",49400,0.585978111516909,0.967142908462304,162.262690579161,111.3324851045177,58.42008097656843,19860205.8953171,"JPL J863/77",Y,5.5,13.6,11.0,14.9x8.2,0.04,,75.3158906863411,.0637815,HTC,8.0,5.0
"    2P/Encke",56870,.3360923854622558,.8482682513981584,11.77999525464905,186.5403463055908,334.5698056056256,20131121.7037618,"JPL 74",Y,14.1,18.0,4.8,,0.046,11.083,3.29671586300933,.173092,ETc,9.,5.
"    4P/Faye",56981,1.655063504357895,.568743403212027,9.050014504119689,205.0922997016205,199.263161601333,20140529.6543018,"JPL K144/5",,10.7,13.3,3.54,,,,7.51841974923446,.668202,JFc,11.,5.
"    6P/d''Arrest",56720,1.361373055234976,.6113215449407586,19.48173225771278,178.1358688587538,138.9362913271884,20150302.4628192,"JPL K155/1",,14.2,,3.2,,,,6.55523441299842,.346473,JFc,12.,
"    7P/Pons-Winnecke",56981,1.239214834016663,.6375275046341201,22.33501475875624,172.5061606273077,93.41632727947726,20150130.5279911,"JPL K088/14",Y,13.3,16.4,5.2,,,,6.3214327351791,.224191,JFc,13.,5.
"    8P/Tuttle",54374,1.0271165870984511059305,0.8197997470243816309221,54.983184844602092766763,207.5092459727414,270.3416520050764,20080127.0255506,"JPL K074/27",Y,9.8,16.7,4.5,,,,13.6083265414944,.0953103,JFC,21.,5.
"    9P/Tempel 1",56717,1.533639783673717,.5115944387599365,10.50258430337173,179.3031328527078,68.88181348869867,20160802.0176962,"JPL 158",,13.1,,6.0,7.6x4.9,0.05,40.7,5.5644513602595,.518931,JFc,8.0,
"   10P/Tempel 2",56981,1.417928021852751,.5372095848169594,12.02900531783671,195.5402937664356,117.8070182720082,20151114.2868553,"JPL K1013/10",,13.2,,10.6,,0.022,8.950,5.36306359324815,.406439,JFc,7.,
"   11P/Tempel-Swift-LINEAR",56981,1.548597330210275,.5459614775625522,13.57559298422617,164.071713962899,240.4356054673936,20140826.9331376,"JPL 5",,15.,17.5,,,,,6.29907688137211,.562738,JFc,10.0,5.0
"   12P/Pons-Brooks",35000,0.7736670872976132429243,0.9548123941619716115170,74.176894232522556649200,199.028468565403,255.8911443583019,19540522.8808502,"JPL 15",Y,5.,11.,,,,,70.8451929225654,.1873,HTC,15.0,10.0
"   13P/Olbers",35760,1.17845061442612,0.930297147462082,44.609885733805,64.64120651677283,86.10312835462277,19560619.1353310,"JPL 10",Y,5.,11.5,,,,,69.5183499778236,.477199,HTC,15.0,10.0
"   14P/Wolf",56981,2.740858982001619,.3556303365465381,27.91357731471586,159.1621223444681,202.1306141024764,20171202.6588626,"JPL K078/7",,12.7,15.9,4.66,,,,8.77274711988889,1.75497,JFc,11.,5.
"   15P/Finlay",57003,.9759007724950007,.7201837655737445,6.798912616250968,347.5528393601829,13.77814649906467,20141227.0566010,"JPL K085/14",Y,12.6,16.0,,,,,6.51339375072615,.00943284,JFc,14.,5.
"   16P/Brooks 2",56981,1.466435223259698,.5628244079158597,4.258296134353142,219.668072843914,159.3022588026306,20140607.5814885,"JPL K074/8",,12.8,,,,,,6.14353967711838,.471189,JFc,11.,
