# Star catalog derived from the Hipparcos and Tycho star catalogs.
# These catalogs are in the public domain, and can be obtained from
# http://cdsweb.u-strasbg.fr/viz-bin/Cat?I/239
#
# Changes made to the raw catalog include stripping out certain data
# fields, reformatting, and manual matching up common and genetive
# star names.  The modified catalog is (C) Jason Harris, 2003, and is
# licensed under the terms of the GNU General Public License (GPL):
# http://www.gnu.org/licenses/gpl.html
#
#  RA        DEC      pmRA     pmDEC  plx      mag  BV SpT b? dV   vper Name : genetive name
#
064509.25 -164247.3 -000546.0-001223.100379.2 -1.4400.01A0 1            Sirius : alp CMa
062357.09 -524144.6 +000020.0+000023.700010.4 -0.6200.16F0 0            Canopus : alp Car
141540.35 +191114.2 -001093.5-001999.400088.8 -0.0501.24K2 1            Arcturus : alp Boo
143940.90 -605006.5 -003678.2+000481.800742.1 -0.0100.71G2 1            Rigel Kentaurus : alp1Cen
183656.19 +384658.8 +000201.0+000287.500128.9 00.03-0.00A0 0            Vega : alp Lyr
051641.30 +455956.5 +000075.5-000427.100077.3 00.0800.80M1 1            Capella : alp Aur
051432.27 -081205.9 +000001.9-000000.600004.2 00.18-0.03B8 0 0.05   2.07Rigel : bet Ori
073918.54 +051339.0 -000716.6-001034.600285.9 00.4000.43F5 1            Procyon : alp CMi
013742.75 -571412.0 +000088.0-000040.100022.7 00.45-0.16B3 1            Achernar : alp Eri
055510.29 +072425.3 +000027.3+000010.900007.6 00.4501.50M2 0            Betelgeuse : alp Ori
140349.44 -602222.7 -000034.0-000025.100006.2 00.61-0.23B1 1            Hadar : bet Cen
195046.68 +085202.6 +000536.8+000385.500194.4 00.7600.22A7 0 0.05   7.94Altair : alp Aql
122635.94 -630556.6 -000035.4-000014.700010.2 00.77-0.24B0 1            Acrux : alp2Cru
043555.20 +163035.1 +000062.8-000189.400050.1 00.8701.54K5 0            Aldebaran : alp Tau
132511.60 -110940.5 -000042.5-000031.700012.4 00.98-0.23B1 0 0.04   4.01Spica : alp Vir
162924.47 -262555.0 -000010.2-000023.200005.4 01.0601.86M1 0            Antares : alp Sco
074519.36 +280134.7 -000625.7-000046.000096.7 01.1600.99K0 0            Pollux : bet Gem
225738.83 -293718.6 +000329.2-000164.200130.1 01.1700.14A3 1            Fomalhaut : alp PsA
124743.32 -594119.4 -000048.2-000012.800009.2 01.25-0.24B0 1 0.03   0.19Mimosa : bet Cru
204125.91 +451649.2 +000001.6+000001.600001.0 01.2500.09A2 0            Deneb : alp Cyg
143939.39 -605022.1 -003600.3+000952.100742.1 01.3500.90K1 1            : alp2Cen
100822.46 +115801.9 -000249.4+000004.900042.1 01.36-0.09B7 0            Regulus : alp Leo
065837.55 -285819.5 +000002.6+000002.300007.6 01.50-0.21B2 0            Adhara : eps CMa
073436.00 +315319.1 -000206.3-000148.200063.3 01.5800.03A2 1            Castor : alp Gem
123109.93 -570645.2 +000027.9-000264.300037.1 01.5901.60M4 0            Gacrux : gam Cru
173336.53 -370613.5 -000008.9-000029.900004.6 01.62-0.23B1 0 0.06   0.21Shaula : lam Sco
052507.87 +062059.0 -000008.8-000013.300013.4 01.64-0.22B2 0            Bellatrix : gam Ori
052617.50 +283628.3 +000023.3-000174.200024.9 01.65-0.13B7 0            Alnath : bet Tau
091312.24 -694302.9 -000157.7+000108.900029.3 01.6700.07A2 0            Miaplacidus : bet Car
053612.81 -011206.9 +000001.5-000001.100002.4 01.69-0.18B0 0            Alnilam : eps Ori
220813.88 -465738.2 +000127.6-000147.900032.2 01.73-0.07B7 0            Al Na'ir : alp Gru
054045.52 -015633.3 +000004.0+000002.500004.0 01.74-0.20O9 1            Alnitak : zet Ori
080931.96 -472011.8 -000005.9+000009.900003.9 01.75-0.14WC 0            Regor : gam1Vel
