    0 1 12 22.4 +58 05  8.4 M  40 
    0 3 03 47.0 +24 07  1.6 M  45 Pleiades 
    0 3 18 16.9 -18 29  4.6 M  24 
    0 8 15 06.5 +55 46  9.9 M 102 
    1 8  0 07.3 +27 43 13.0       
    2 8  0 07.3 +27 41 15.0 
    3 8  0 07.3 +08 17 14.0 
    4 8  0 07.4 +08 22      
    5 8  0 07.8 +35 21 14.0 
    7 8  0 08.4 -29 55      
    8 1  0 08.8 +23 50      
    9 8  0 08.9 +23 49 15.0 
   10 8  0 08.6 -33 52      
   11 8  0 08.7 +37 26 14.0 
   12 8  0 08.7 +04 37 15.0 
   13 8  0 08.8 +33 26 14.0 
   14 8  0 08.8 +15 49 12.0 
   15 8  0 09.1 +21 36 15.0 
   16 8  0 09.1 +27 44 12.0 
   18 1  0 09.4 +27 43      
   20 8  0 09.5 +33 19 15.0 
   21 8  0 10.7 +32 59 14.0 
   22 8  0 09.8 +27 50 15.0 
   23 8  0 09.9 +25 55 12.0 
   24 8  0 09.9 -24 58 11.5 
   25 8  0 09.9 -57 03      
   26 8  0 10.4 +25 50 14.0 
   27 8  0 10.5 +29 00 14.0 
   28 8  0 10.3 -57 01      
   29 8  0 10.8 +33 21 14.0 
   30 1  0 10.8 +21 57      
   31 8  0 10.5 -57 00      
   32 1  0 10.9 +18 47      
   33 1  0 10.9 +03 40      
   34 8  0 11.1 -12 06 13.0 
   35 8  0 11.2 -12 00 14.0 
   36 8  0 11.4 +06 23 15.0 
   37 8  0 11.3 -56 58      
   38 8  0 11.9 -05 36 13.0 
   39 8  0 12.3 +31 03 14.0 
   40 6  0 13.0 +72 32 11.0 
   41 8  0 12.8 +22 02 14.0 
   42 8  0 12.9 +22 06 15.0 
   43 8  0 13.0 +30 54 14.0 
   45 8  0 14.1 -23 11 10.4 
   46 1  0 14.1 +05 59      
   47 8  0 14.5 -07 11 13.0 
   48 8  0 14.0 +48 14 15.0 
   49 8  0 14.3 +48 14 15.0 
   50 8  0 14.7 -07 20      
   51 8  0 14.6 +48 15 15.0 
   52 8  0 14.6 +18 33 14.0 
   53 8  0 14.7 -60 20      
   54 8  0 15.1 -07 08 14.0 
   55 8  0 14.9 -39 11  8.0 
   57 8  0 15.4 +17 18 13.0 
   59 8  0 15.5 -21 27 13.0 
   60 8  0 16.0 -00 18 15.0 
   61 8  0 16.5 -06 14 15.0 
   62 8  0 17.1 -13 28 14.0 
   63 8  0 17.7 +11 27 13.0 
   64 8  0 17.5 -06 51 14.0 
   65 8  0 19.1 -22 54 15.0 
   66 8  0 19.2 -22 57 14.0 
   67 8  0 18.2 +30 04 16.0 
   68 8  0 18.3 +30 04 13.0 
   69 8  0 18.3 +30 02 14.8 
   70 8  0 18.4 +30 05 15.0 
   71 8  0 18.4 +30 04 13.0 
   72 8  0 18.5 +30 02 13.4 
   73 8  0 18.8 -15 21 13.0 
   74 8  0 18.9 +30 03 16.0 
   75 8  0 19.5 +06 25 15.0 
   76 8  0 19.6 +29 56 14.0 
   78 8  0 20.4 +00 49 14.0 
   79 8  0 21.0 +22 34 15.0 
   80 8  0 21.2 +22 21 12.1 
   81 8  0 21.2 +22 22      
   82 8  0 21.4 +22 26 14.0 
   83 8  0 21.4 +22 26 12.6 
   84 8  0 21.5 +22 36 17.0 
   85 8  0 21.4 +22 30 15.0 
   86 8  0 21.5 +22 33 15.0 
   87 8  0 21.2 -48 38      
   88 8  0 21.3 -48 39      
   89 8  0 21.3 -48 41      
   90 1  0 21.9 +22 25      
   91 8  0 21.8 +22 25 15.0 
   92 8  0 21.5 -48 38      
   93 8  0 22.0 +22 25 14.0 
   94 8  0 22.2 +22 28 15.0 
   95 8  0 22.2 +10 30 12.6 
   96 8  0 22.3 +22 33 17.0 
   97 8  0 22.4 +29 44 13.0 
   98 8  0 22.8 -45 16      
   99 8  0 24.0 +15 47 14.0 
  100 8  0 24.0 +16 29      
  101 8  0 23.9 -32 34 13.0 
  102 8  0 24.4 -13 57 14.0 
  103 3  0 25.3 +61 21  9.8 
  104 4  0 24.1 -72 05  4.0       47 Tuc
  105 8  0 25.3 +12 53 13.2 
  106 8  0 24.7 -05 10      
  107 8  0 25.6 -08 17      
  108 8  0 25.9 +29 13 13.0 
  109 8  0 26.2 +21 49 15.0 
  110 3  0 27.4 +71 23      
  112 8  0 26.7 +31 43 14.0 
  113 8  0 27.0 -02 30 13.0 
  114 8  0 27.1 -01 47 15.0 
  115 8  0 26.8 -33 41      
  116 8  0 27.2 -07 42 14.0 
  117 8  0 27.2 +01 19 15.0 
  118 8  0 27.3 -01 47 15.0 
  119 8  0 27.1 -56 59      
  120 8  0 27.5 -01 31 15.0 
  121 4  0 26.8 -71 32 10.6 
  124 8  0 27.9 -01 49 14.0 
  125 8  0 28.8 +02 50 12.3 
  126 8  0 29.1 +02 49 16.0 
  127 8  0 29.2 +02 52 14.0 
  128 8  0 29.2 +02 51 11.6 
  129 3  0 29.9 +60 14  6.5 
  130 8  0 29.3 +02 52 14.3 
  131 8  0 29.6 -33 16      
  132 8  0 30.2 +02 06 14.0 
  133 3  0 31.2 +63 22  9.0 
  134 8  0 30.4 -33 15 10.1 
  136 3  0 31.5 +61 32      
  137 8  0 31.1 +10 11 14.0 
  138 8  0 31.0 +05 10 15.0 
  139 8  0 31.0 +05 05 15.0 
  140 8  0 31.3 +30 47 14.0 
  141 8  0 31.4 +05 11 15.0 
  142 8  0 31.3 -22 37 14.0 
  143 8  0 31.4 -22 34 15.0 
  144 8  0 31.4 -22 39 14.0 
  145 8  0 31.7 -05 09 12.8 
  146 3  0 33.1 +63 18  9.1 
  147 8  0 33.2 +48 30  9.3 
  148 8  0 34.3 -31 47 12.1 
  149 8  0 33.7 +30 43 15.0 
  150 8  0 34.3 -27 48 11.1 
  151 8  0 34.0 -09 42 11.5 
  152 4  0 32.8 -73 09 12.0 
  154 8  0 34.1 -12 39 14.0 
  155 8  0 34.7 -10 46 13.0 
  156 1  0 34.6 -08 21      
  157 8  0 34.8 -08 24 10.4 
  158 1  0 34.9 -08 19      
  159 8  0 34.6 -55 47      
  160 8  0 36.1 +23 57 12.4 
  161 8  0 35.5 -02 50 15.0 
  162 8  0 36.1 +23 58      
  163 8  0 36.0 -10 07 12.8 
  164 8  0 36.5 +02 45 16.0 
  165 8  0 36.5 -10 06 13.2 
  166 8  0 35.8 -13 37 15.0 
  167 8  0 35.3 -23 22 13.0 
  168 8  0 36.7 -22 36 14.0 
  169 8  0 36.9 +23 59 13.0 
  170 8  0 36.7 +01 51 15.0 
  172 8  0 37.3 -22 36      
  173 8  0 37.2 +01 56 15.0 
  174 8  0 36.9 -29 29 14.0 
  175 8  0 37.4 -19 56 12.1 
  176 3  0 35.8 -73 11 12.0 
  177 8  0 37.5 -22 34 13.0 
  178 8  0 39.1 -14 10 12.6 
  179 8  0 37.8 -17 53 14.0 
  180 8  0 38.0 +08 38 14.0 
  181 8  0 38.2 +29 28 15.0 
  182 8  0 38.2 +02 44 12.6 
  183 8  0 38.3 +29 30 14.0 
  184 8  0 38.5 +29 26 15.0 
  185 8  0 39.0 +48 20  9.2 
  186 8  0 38.5 +03 09 15.0 
  187 8  0 39.6 -14 41 13.0 
  188 3  0 44.0 +85 20  8.1 
  189 3  0 39.6 +61 04  8.8 
  190 8  0 38.9 +07 02 14.0 
  191 8  0 39.0 -09 00 12.0 
  192 8  0 39.3 +00 51 14.0 
  193 8  0 39.3 +03 20 12.3 
  194 8  0 39.3 +03 02 12.1 
  195 8  0 39.6 -09 12      
  196 8  0 39.3 +00 54 14.0 
  197 8  0 39.4 +00 53 15.0 
  198 8  0 39.4 +02 48 12.8 
  199 8  0 39.6 +03 07 15.0 
  200 8  0 39.6 +02 53 14.0 
  201 8  0 39.7 +00 51 15.0 
  202 8  0 39.7 +03 31 15.0 
  203 8  0 39.7 +03 26 15.0 
  204 8  0 39.8 +03 17 14.0 
  205 8  0 40.4 +41 41  8.0 M 110
  206 5  0 40.6 +40 44      
  208 8  0 40.4 +02 44 15.0 
  209 8  0 39.1 -18 38 14.0 
  210 8  0 40.6 -13 52 10.9 
  211 1  0 41.0 +03 26      
  212 8  0 40.1 -56 10      
  213 8  0 41.2 +16 28 15.0 
  214 8  0 41.5 +25 30 12.2 
  215 8  0 40.8 -56 13      
  216 8  0 41.4 -21 03 13.3 
  217 8  0 41.5 -10 02      
  218 8  0 41.8 +36 21 15.0 
  219 8  0 42.3 +00 54 15.0 
  220 3  0 40.5 -73 24 11.0 
  221 8  0 42.7 +40 52  8.2 M  32
