 2027 DOR 05 34 59.8 -66 54 59 3 OCL                                                    
 2028 MEN 05 33 48.6 -69 57 07 3 OCL                                                    
 2029 DOR 05 35 00.0 -67 33 23 5 EN                                                     
 2030 DOR 05 35 40.1 -66 02 08 3 OCL+                                                   
 2031 MEN 05 33 41.9 -70 59 13 3 OCL                                                    
 2032 DOR 05 35 20.7 -67 34 07 5 EN                                                     
 2033 DOR 05 34 40.6 -69 44 52 3 OCL                                                    
 2034 DOR 05 35 32.8 -66 54 13 3 OCL                                                    
 2035 DOR 05 35 32.5 -67 35 08 5 EN                                                     
 2036 MEN 05 34 31.5 -70 03 52 3 OCL         0.80                                       
 2037 DOR 05 35 00.7 -69 43 54 3 OCL                                                    
 2038 MEN 05 34 42.4 -70 33 47 3 OCL                                                    
 2039 ORI 05 44 01.0 +08 41 28 0 *Grp                                                   
 2040 DOR 05 36 07.6 -67 34 04 5 EN                                                     
 2041 DOR 05 36 28.1 -66 59 23 3 OCL  10.0                                              
 2042 DOR 05 35 53.1 -68 55 33 3 OCL                                                    
 2043 MEN 05 35 57.3 -70 04 28 3 OCL                                                    
 2044 DOR 05 35 56.7 -69 11 40 3 OCL                                                    
 2045 TAU 05 45 01.4 +12 53 16 0 *     6.6                                              
 2046 MEN 05 35 37.6 -70 14 27 3 OCL                                                    
 2047 MEN 05 35 53.1 -70 11 34 3 OCL                                                    
 2048 DOR 05 35 55.4 -69 38 58 5 EN+*        0.50                                       
 2049 COL 05 43 15.1 -30 04 43 8 Sa   13.7   2.00   1.0 168     17657                   
 2050 DOR 05 36 38.9 -69 23 01 3 OCL                                                    
 2051 MEN 05 36 07.4 -71 00 41 3 OCL                                                    
 2052 DOR 05 37 11.1 -69 46 27 5 EN                                                     
 2053 DOR 05 37 39.8 -67 24 47 3 OCL                                                    
 2054 ORI 05 45 15.6 -10 05 00 0 *4                                                     
 2055 DOR 05 36 44.8 -69 29 55 3 OCL                                                    
 2056 MEN 05 36 34.1 -70 40 19 3 OCL                                                    
 2057 MEN 05 36 55.2 -70 16 08 3 OCL                                                    
 2058 MEN 05 36 54.3 -70 09 44 3 OCL  12.0                                              
 2059 MEN 05 37 00.6 -70 07 45 3 OCL                                                    
 2060 DOR 05 37 48.8 -69 10 24 3 OCL+                                                   
 2061 COL 05 42 41.9 -34 00 16 0 *Grp        8.00   8.0                                 
 2062 DOR 05 40 02.8 -66 52 33 3 OCL                                                    
 2063 ORI 05 46 43.0 +08 46 52 0 *Grp                                                   
 2064 ORI 05 46 18.4 +00 00 21 5 RN         10.00  10.0                       
 2065 MEN 05 37 38.5 -70 14 12 3 OCL  11.0                                              
 2066 MEN 05 37 43.2 -70 10 00 3 OCL                                                    
 2067 ORI 05 46 30.0 +00 08 00 5 EN          8.00                             
 2068 ORI 05 46 45.8 +00 04 45 5 EN    8.0   8.00            78                       
 2069 DOR 05 38 46.5 -68 58 28 5 EN                                                     
 2070 DOR 05 38 38.4 -69 05 39 5 EN    5.0  40.00                            Tarantula Nebula, 30 Doradus   
 2071 ORI 05 47 07.2 +00 17 39 5 RN    8.0   7.00   5.0                       
 2072 MEN 05 38 24.5 -70 14 03 3 OCL                                                    
 2073 LEP 05 45 53.8 -21 59 59 8 E-S0 13.4   1.50   1.4         17772                   
 2074 DOR 05 39 03.6 -69 29 53 5 EN    8.5                                              
 2075 MEN 05 38 20.8 -70 41 09 3 OCL+                                                   
 2076 LEP 05 46 47.4 -16 47 00 8 S0-a 13.9   2.20   1.3  45     17804                   
 2077 DOR 05 39 36.0 -69 39 26 5 EN         15.00                                       
 2078 DOR 05 39 39.3 -69 44 38 5 EN                                                     
 2079 DOR 05 39 40.0 -69 46 26 5 EN                                                     
 2080 DOR 05 39 44.2 -69 38 44 5 EN                                                     
 2081 DOR 05 39 59.5 -69 24 21 3 OCL+                                                   
 2082 DOR 05 41 50.9 -64 18 07 8 SBb  12.6   1.90   1.8         17609                   
 2083 DOR 05 39 59.3 -69 44 16 5 EN                                                     
 2084 DOR 05 40 07.1 -69 45 34 5 EN                                                     
 2085 DOR 05 40 09.9 -69 40 22 5 EN                                                     
 2086 DOR 05 40 13.0 -69 40 05 5 EN                                                     
 2087 PIC 05 44 16.1 -55 32 01 8 SBa  14.7   0.80   0.6 136     17684  
 2088 DOR 05 40 59.9 -68 27 56 3 OCL                                                    
 2089 LEP 05 47 51.3 -17 36 12 8 E-S0 12.9   1.90   1.2  39     17860                   
 2090 COL 05 47 01.6 -34 15 05 8 Sc   12.0   6.40   2.5  13     17819                   
 2091 DOR 05 40 58.1 -69 26 14 3 OCL                                                    
 2092 DOR 05 41 22.1 -69 13 27 3 OCL                                                    
 2093 DOR 05 41 49.8 -68 55 17 3 OCL                                                    
 2094 DOR 05 42 12.8 -68 55 07 3 OCL                                                    
 2095 DOR 05 42 36.2 -67 19 08 3 OCL                                                    
 2096 DOR 05 42 17.9 -68 27 31 3 OCL                                                    
 2097 DOR 05 44 16.0 -62 47 08 3 OCL                                                    
 2098 DOR 05 42 30.4 -68 16 32 3 OCL                                                    
 2099 AUR 05 52 18.3 +32 33 11 3 II1r  5.6  24.00            37                       
 2100 DOR 05 42 09.1 -69 12 43 3 OCL   9.0   2.00                                       
 2101 PIC 05 46 22.4 -52 05 26 8 Irr  13.7   2.00   1.3  85     17793  
 2102 DOR 05 42 20.6 -69 29 14 3 OCL                                                    
 2103 MEN 05 41 40.4 -71 20 00 5 EN                                                     
 2104 PIC 05 47 04.2 -51 33 13 8 SBm  13.2   2.00   0.9 160     17822  
 2105 DOR 05 44 19.2 -66 55 04 3 OCL                                                    
 2106 LEP 05 50 46.3 -21 34 03 8 SB0  13.1   2.70   1.4 100     17975                   
 2107 MEN 05 43 13.0 -70 38 24 3 OCL  11.0                                              
 2108 DOR 05 43 55.3 -69 10 51 3 OCL                                                    
 2109 DOR 05 44 23.0 -68 32 52 3 OCL                                                    
 2110 ORI 05 52 11.2 -07 27 25 8 E-S0 13.2   1.70   1.2 160     18030                   
 2111 MEN 05 44 33.1 -70 59 36 3 OCL                                                    
 2112 ORI 05 53 45.2 +00 24 39 3 II3m  9.1  11.00                             
 2113 DOR 05 45 24.6 -69 46 27 3 OCL+                                                   
 2114 DOR 05 46 12.2 -68 02 54 3 OCL                                                    
 2115 PIC 05 51 19.8 -50 35 02 8 S0-a 14.1   1.20   1.0  68     18001  
 2116 DOR 05 47 15.2 -68 30 29 3 OCL                                                    
 2117 DOR 05 47 46.0 -67 27 01 3 OCL                                                    
 2118 DOR 05 47 39.6 -69 07 55 3 OCL                                                    
 2119 ORI 05 57 26.9 +11 56 54 8 E    14.6   1.20   1.0 145     18136  3380             
 2120 DOR 05 50 34.8 -63 40 30 3 OCL                                                    
 2121 MEN 05 48 12.4 -71 28 52 3 OCL  11.0   1.80                                       
 2122 MEN 05 48 52.6 -70 04 12 3 OCL+                                                   
 2123 DOR 05 51 43.4 -65 19 18 3 OCL                                                    
 2124 LEP 05 57 52.3 -20 05 08 8 Sb   13.4   2.70   0.9   2     18147                   
 2125 DOR 05 50 54.3 -69 28 45 3 OCL                                                    
 2126 AUR 06 02 32.9 +49 51 57 3 II1p 10.2   6.00                             
 2127 DOR 05 51 22.4 -69 21 41 3 OCL                                                    
 2128 CAM 06 04 34.0 +57 37 37 8 E-S0 13.6   1.50   1.1  60     18374  3392        
 2129 GEM 06 00 41.5 +23 19 04 3 III3  6.7   7.00                             
 2130 DOR 05 52 23.8 -67 20 03 3 OCL                                                    
 2131 LEP 05 58 47.2 -26 39 13 8 Irr  14.6   1.10   0.5 118     18172                   
 2132 PIC 05 55 18.0 -59 54 36 0 *Grp        4.00   4.0                
 2133 MEN 05 51 28.8 -71 10 30 3 OCL                                                    
 2134 MEN 05 51 56.7 -71 05 50 3 OCL  11.0                                              
 2135 DOR 05 53 35.0 -67 25 38 3 OCL                                                    
 2136 DOR 05 52 59.1 -69 29 36 3 OCL  10.0                                              
 2137 DOR 05 53 13.2 -69 28 55 3 OCL                                                    
 2138 DOR 05 54 48.8 -65 50 07 3 OCL                                                    
 2139 LEP 06 01 08.0 -23 40 24 8 SBc  12.1   2.90   2.0 140     18258                   
 2140 DOR 05 54 16.3 -68 36 00 3 OCL                                                    
 2141 ORI 06 02 55.0 +10 26 47 3 II3r  9.4  10.00                             
 2142 MON 06 01 50.3 -10 35 53 0 *     5.0                                              
 2143 ORI 06 03 01.5 +05 49 53 3 OCL                                                    
 2144 MEN 05 40 56.3 -82 07 10 8 Sa   13.9   1.40   1.1         17592                   
 2145 MEN 05 54 22.8 -70 54 07 3 OCL                                                    
 2146 CAM 06 18 38.3 +78 21 19 8 SBab 11.3   5.70   3.3  56     18797  3429        
 2147 DOR 05 55 45.7 -68 12 06 3 OCL                                                    
 2148 PIC 05 58 45.6 -59 07 37 8 Sb   14.6   1.10   0.8 150     18171  
 2149 MON 06 03 30.7 -09 43 50 5 RN          3.00                             
 2150 DOR 05 55 46.4 -69 33 41 8 SBab 14.0   1.20   0.9 143     18097                   
 2151 DOR 05 56 20.5 -69 01 03 3 OCL                                                    
 2152 PIC 06 00 55.0 -50 44 29 8 SBa  14.8   1.10   0.8  69     18249  
 2153 DOR 05 57 51.8 -66 24 03 3 OCL                                                    
 2154 DOR 05 57 38.3 -67 15 44 3 OCL                                                    
 2155 DOR 05 58 33.3 -65 28 35 3 OCL                                                    
 2156 DOR 05 57 50.4 -68 27 39 3 OCL                                                    
 2157 DOR 05 57 34.9 -69 11 50 3 OCL  10.0                                              
 2158 GEM 06 07 25.6 +24 05 46 3 II3r  8.6   5.00                             
 2159 DOR 05 58 03.0 -68 37 28 3 OCL                                                    
 2160 DOR 05 58 12.9 -68 17 23 3 OCL                                                    
 2161 MEN 05 55 43.2 -74 21 14 3 OCL                                                    
 2162 DOR 06 00 30.4 -63 43 20 3 OCL                                                    
 2163 ORI 06 07 49.5 +18 39 27 5 EN                                           
 2164 DOR 05 58 55.0 -68 30 56 3 OCL  10.0                                              
 2165 AUR 06 11 04.0 +51 40 40 3 OCL                                                    
 2166 DOR 05 59 33.8 -67 56 29 3 OCL                                                    
 2167 MON 06 06 58.5 -06 12 11 0 *     6.6                                              
 2168 GEM 06 09 00.0 +24 21 00 3 III2  5.1  28.00            35                       
 2169 ORI 06 08 24.3 +13 57 53 3 I3p   5.9   7.00                             
 2170 MON 06 07 31.3 -06 23 53 5 RN          2.00   2.0                       
 2172 DOR 06 00 05.9 -68 38 13 3 OCL                                                    
 2173 MEN 05 57 58.5 -72 58 41 3 OCL                                                    
 2174 ORI 06 09 23.6 +20 39 34 5 EN         40.00                             
 2175 ORI 06 09 38.6 +20 29 18 3 IV3p  6.8  18.00                             
 2176 DOR 06 01 19.4 -66 51 12 3 OCL                                                    
 2177 DOR 06 01 16.5 -67 44 00 3 OCL                                                    
 2178 PIC 06 02 47.5 -63 45 52 8 E    13.6   1.20   1.0         18322  
 2179 LEP 06 08 02.1 -21 44 48 8 SB0- 13.2   2.00   1.4 170     18453                   
 2180 ORI 06 09 36.2 +04 42 42 3 OCL                                                    
 2181 DOR 06 02 43.7 -65 15 54 3 OCL                                                    
 2182 MON 06 09 30.9 -06 19 35 5 RN          3.00   2.0                       
 2183 MON 06 10 46.9 -06 12 43 5 RN          2.00   2.0                       
