N4676A124610.1 +304357 14.4  8   1.4   0.6   0  43062 NGC 4676-1            
N4676B124611.2 +304321 14.7  8   2.2   0.8   2  43065 NGC 4676-2            
N4677 124657.0 -413457 13.8  8   1.6   0.7 167  43127 ESO 322-78            
N4678 124942.3 -043447 15.0  8   1.0   0.5  82        IC 824-2              
N4678 124941.0 -043449 14.3  8   0.9   0.5 100  43385 IC 824-1              
N4679 124730.0 -393416 13.5  8   2.5   0.9   4  43170 ESO 322-82            
N4680 124654.7 -113811 13.7  8   1.5   1.2  40  43118 MCG -2-33-7           
N4681 124728.7 -432005 13.5  8   1.4   1.2 166  43166 ESO 268-40            
N4682 124715.5 -100350 13.1  8   2.5   1.2  83  43147 MCG -2-33-8           
N4683 124742.2 -413144 13.8  8   1.3   0.9 130  43182 ESO 322-83            
N4684 124717.6 -024337 12.4  8   2.8   1.1  23  43149 UGC 7951              
N4685 124711.4 +192753 13.7  8   2.0   1.2 155  43143 UGC 7954              
N4686 124639.7 +543204 13.7  8   2.0   0.6   3  43101 UGC 7946              
N4687 124723.8 +352107 14.2  8   0.7   0.6 118  43157 UGC 7958              
N4688 124746.5 +042009 12.7  8   3.2   2.8 123  43189 UGC 7961              
N4689 124745.7 +134544 11.5  8   4.3   3.5 160  43186 UGC 7965              
N4690 124755.5 -013922 13.9  8   1.2   0.8 150  43202 UGC 7964              
N4691 124813.4 -031957 12.0  8   2.7   2.5  85  43238 MCG 0-33-13           
N4692 124755.2 +271320 13.7  8   1.3   1.3   0  43200 UGC 7967              
N4693 124709.0 +711034 14.0  8   2.4   0.5  34  43141 UGC 7962              
N4694 124814.9 +105902 12.1  8   3.3   1.6 140  43241 UGC 7969              
N4695 124732.0 +542228 14.3  8   1.1   0.7  80  43173 IC 3791               
N4696 124849.1 -411842 11.2  8   4.7   3.3 107  43296 ESO 322-91            
N4696A124655.5 -412951 14.4  8   1.3   0.5 174  43120 ESO 322-77            
N4696B124721.7 -411414 12.9  8   1.2   0.7  40  43155 ESO 322-81            
N4696C124802.6 -404910 14.5  8   1.8   0.3 139  43218 ESO 322-87            
N4696D124821.4 -414252 13.8  8   1.9   0.4 132  43249 ESO 322-88            
N4696E124826.1 -405607 14.4  8   1.8   0.7   0  43262 ESO 322-90            
N4697 124835.8 -054800 10.2  8   7.2   4.7  70  43276 MCG -1-33-10          
N4698 124823.0 +082918 11.5  8   4.0   2.5 170  43254 UGC 7970              
N4699 124902.2 -083950 10.4  8   3.8   2.8  45  43321 MCG -1-33-13          
N4700 124907.8 -112442 12.8  8   3.2   0.8  48  43330 MCG -2-33-13          
N4701 124911.4 +032320 12.8  8   2.8   2.1  45  43331 UGC 7975              
N4702 124901.4 +271043 16.4  8   0.8   0.4   0  43317 MCG 5-30-91           
N4703 124918.9 -090630 14.5  8   3.0   0.6 156  43342 MCG -1-33-15          
N4704 124846.4 +415516 14.5  8   1.0   0.9 105  43288 UGC 7972              
N4705 124924.9 -051143 13.6  8   3.1   1.0 125  43350 MCG -1-33-16          
N4706 124954.0 -411646 13.8  8   1.3   0.5  24  43411 ESO 323-1             
N4707 124823.2 +510948 13.6  8   2.2   2.1  25  43255 UGC 7971              
N4708 124941.6 -110537 14.6  8   1.2   0.9  55  43382 MCG -2-33-16          
N4709 125003.9 -412257 12.1  8   2.3   2.0 112  43423 ESO 323-3             
N4710 124938.7 +150953 11.9  8   4.9   1.2  27  43375 UGC 7980              
N4711 124845.7 +351958 14.3  8   1.3   0.8  40  43286 IC 3804               
N4712 124934.1 +252811 13.3  8   2.3   0.9 160  43368 UGC 7977              
N4713 124957.6 +051840 12.1  8   2.9   1.8 100  43413 UGC 7985              
N4714 125019.2 -131928 13.7  8   1.6   1.2 150  43442 MCG -2-33-18          
N4715 124957.8 +274922 15.4  8   1.6   1.1  20  43399 UGC 7986              
N4716 125033.1 -092703 14.3  8   1.1   0.7  60  43464 MCG -1-33-21          
N4717 125034.5 -092746 15.1  8   1.4   0.5  12  43467 MCG -1-33-23          
N4718 125032.5 -051655 14.2  8   1.8   0.6  95  43463 MCG -1-33-20          
N4719 125008.6 +330933 14.0  8   1.4   1.1  15  43428 UGC 7987              
N4720 125042.6 -040921 14.3  8   0.9   0.5 123  43478 MCG -1-33-24          
N4721 125019.8 +271929 15.5  8   0.8   0.3 114  43437 MCG 5-30-97           
N4722 125132.3 -131948 13.7  8   1.8   0.7  35  43560 IC 3833               
N4723 125103.0 -131412 15.1  8   1.1   0.7  40  43508 MCG -2-33-26          
N4724 125053.6 -141956 13.7  8   0.9   0.6  95  43494 MCG -2-33-22          
N4725 125026.5 +253000 10.1  8  10.7   7.6  35  43451 UGC 7989              
N4726 125046.0 -141604 15.8  8   0.7   0.2  75                              
N4727 125057.2 -141959 12.7  8   1.6   1.2 130  43499 MCG -2-33-23          
N4728 125028.0 +272607 15.6  8   1.0   0.7 108  43455 NGC 4728A             
N4728A125028.0 +272607 15.6  8   1.0   0.7 108  43455 NGC 4728              
N4728B125037.4 +272531 14.7  8   1.0   0.4  37  43462 UGC 7992              
N4728C125036.9 +272901 15.8  8   0.5   0.3   0                              
N4729 125146.2 -410756 13.4  8   1.6   1.6   0  43591 ESO 323-16            
N4730 125200.5 -410849 13.7  8   1.0   1.0   0  43611 ESO 323-17            
N4731 125101.0 -062333 12.2  8   6.6   4.2  95  43507 MCG -1-33-26          
N4731A125113.1 -063335 12.4  8   1.3   1.1  30  43526 MCG -1-33-27          
N4732 125007.0 +525100 14.9  8   1.2   0.6   8  43430 UGC 7988              
N4733 125106.7 +105443 12.7  8   2.2   2.2   0  43516 UGC 7997              
N4734 125112.8 +045131 14.3  8   1.0   0.8 145  43525 UGC 7998              
N4735 125101.9 +285541 15.4  8   0.6   0.3 105  43509 MCG 5-30-104          
N4736 125053.1 +410717  8.9  8  14.4  12.1 117  43495                 M  94 
N4737 125052.9 +340926 15.1  8   0.9   0.6  50  43490 MCG 6-28-36           
N4738 125108.9 +284718 14.7  8   2.1   0.3  34  43517 UGC 7999              
N4739 125137.1 -082435 13.5  8   1.4   1.2 165  43571 MCG -1-33-29          
N4740 125132.3 -141315 14.5  8   0.8   0.4  85  43559 IC 3834               
N4741 125059.4 +474018 14.4  8   1.4   0.7 165  43504 UGC 8000              
N4742 125148.0 -102717 12.3  8   2.6   1.5  81  43594 MCG -2-33-32          
N4743 125215.6 -412324 13.4  8   1.4   0.5 176  43653 ESO 323-21            
N4744 125219.5 -410338 13.6  8   2.1   1.0 122  43661 ESO 323-22            
N4745 125126.1 +272518 16.1  8   0.8   0.8   0  43539 NGC 4745A             
N4745A125126.1 +272518 16.1  8   0.8   0.8   0  43539 NGC 4745              
N4745B125122.0 +272639 15.8  8   0.6   0.2  10                              
