150603.147+0.0008-222414.18-0.002 6.9K0                 
195751.609-0.0003+380716.06-0.006 6.9K2                 
113302.095-0.0007+340305.43-0.010 6.9K2                 
075936.665-0.0046+795140.93-0.011 6.9K2                 
083053.503-0.0009-155003.35+0.016 6.9K2                 
084018.062+0.0011+015511.86-0.045 6.9K2                 
085855.405-0.0013-155904.41+0.010 6.9K2                 
095918.748-0.0011-202126.20-0.022 6.9K2                 
121513.519-0.0014+165426.76+0.012 6.9K2                 
123430.798+0.0041+074405.28-0.040 6.9K2                 
123930.813+0.0017-060602.65-0.009 6.9K2                 
125430.459+0.0013-200551.13+0.017 6.9K2                 
012946.584-0.0022+651019.13+0.035 6.9K2                 
133958.525-0.0003-162648.39-0.017 6.9K2                 
141101.447+0.0035+583256.48-0.054 6.9K2                 
013837.356+0.0037+212353.56-0.004 6.9K2                 
161646.499-0.0007+400218.97+0.033 6.9K2                 
162540.743+0.0026+092215.33-0.004 6.9K2                 
164304.235+0.0003+363034.38+0.005 6.9K2                 
164959.240-0.0035+463857.97+0.055 6.9K2                 
171139.776-0.0005+451926.34-0.026 6.9K2                 
171150.164-0.0003+414348.15-0.002 6.9K2                 
174624.812-0.0008+010238.18-0.011 6.9K2                 
181456.160-0.0002+490930.32+0.082 6.9K2                 
183554.685+0.0038+722248.26+0.012 6.9K2                 
190134.897-0.0001+250133.18+0.000 6.9K2                 
191418.265+0.0002+114246.14-0.003 6.9K2                 
191420.210-0.0008+555625.84+0.022 6.9K2                 
193128.482+0.0081+551552.92+0.135 6.9K2                 
193507.337-0.0030+190016.58-0.027 6.9K2                 
194140.663+0.0018+304831.41+0.021 6.9K2                 
195909.077+0.0008+273045.18+0.004 6.9K2                 
201620.598-0.0004+221715.45+0.018 6.9K2                 
201648.995+0.0013+560224.25-0.012 6.9K2                 
202244.975+0.0048+122634.96-0.029 6.9K2                 
204809.648+0.0017+024255.18-0.028 6.9K2                 
205748.854+0.0002+041143.43-0.003 6.9K2                 
205612.268+0.0234+754309.71+0.029 6.9K2                 
205929.052-0.0016+555624.82-0.008 6.9K2                 
210925.125+0.0018-163657.02+0.010 6.9K2                 
023040.860+0.0063+401002.66-0.037 6.9K2                 
032051.519+0.0007+203034.16-0.018 6.9K2                 
002541.760+0.0003+545939.58+0.002 6.9K2                 
041712.314+0.0000+505156.85-0.006 6.9K2                 
050356.649+0.0032-143322.51-0.002 6.9K2                 
060208.797+0.0005-050813.72-0.016 6.9K2                 
000600.626+0.0009+281638.16+0.006 6.9K2                 
064405.285+0.0006+625746.16-0.026 6.9K2                 
065141.070-0.0012-022409.43+0.005 6.9K2                 
070951.007-0.0005+091831.77-0.014 6.9K2                 
070822.031+0.0016-205138.50-0.044 6.9K2                 
185328.514+0.0024+425409.29-0.003 6.9K2                 
192805.301+0.0008-182132.79+0.000 6.9K2                 
212158.739+0.0016-091940.44-0.044 6.9K2                 
071952.919-0.0006+591510.28-0.030 6.9K2                 
051441.263-0.0009-070417.44-0.005 6.9K2                 
083511.391-0.0013-340127.08+0.045 6.9K2                 
041942.504+0.0021-250127.84+0.016 6.9K2                 
125313.389+0.0013-392325.26-0.005 6.9K2                 
130615.591-0.0007-553642.29-0.004 6.9K2                 
075703.134+0.0010-342242.70+0.001 6.9K2                 
082737.711+0.0003-315938.16-0.003 6.9K2                 
130003.098+0.0013-361055.66-0.024 6.9K2                 
134136.443+0.0007-452937.42-0.028 6.9K2                 
141501.525-0.0004-405402.13+0.001 6.9K2                 
173156.955+0.0020-460532.71-0.024 6.9K2                 
204723.642+0.0006-455115.99-0.002 6.9K2                 
213439.864-0.0010-363848.46+0.000 6.9K2                 
235241.013+0.0008-245905.62+0.024 6.9K2                 
051002.684+0.0037-403333.21+0.029 6.9K2                 
052706.331+0.0009-445141.56+0.046 6.9K2                 
054819.708-0.0006-332553.08-0.023 6.9K2                 
094735.003+0.0004-381123.99-0.011 6.9K2                 
092519.451+0.0025-542750.42-0.017 6.9K2                 
140118.153-0.0037-571344.08-0.011 6.9K2                 
151229.665-0.0052-630204.22-0.065 6.9K2                 
152915.713-0.0037-655326.49-0.053 6.9K2                 
155950.244+0.0021-645116.06-0.015 6.9K2                 
172635.988-0.0032-625523.40-0.031 6.9K2                 
175957.449+0.0006-522824.68+0.006 6.9K2                 
