"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"130051","SN 2023jkl","14:02:02.315","+13:13:49.74","SN II","","","","ZTF, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS; ZTF","ZTF23aalwuua","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","SOAR - Goodman","1","1","","18.49","g-ZTF","2023-05-25 07:04:48.000","ZTF_Bot1","","2023TNSTR1230....1F","",""
"129953","SN 2023jgu","14:15:21.090","-02:26:41.38","SN Ia","0.05","","","ANTARES, Fink, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ANTARES; ATLAS; Fink; Pan-STARRS","ZTF23aakawpn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.052","r-ZTF","2023-05-23 08:23:34.080","ANTARES_bot","","2023TNSTR1198....1A","2023TNSCR1250....1F",""
"129854","SN 2023jda","19:47:23.438","+43:51:53.54","SN Ia","0.042862","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS23lbu","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.256","orange-ATLAS","2023-05-22 11:53:19.104","ATLAS_Bot1","","2023TNSTR1184....1T","2023TNSCR1210....1P",""
"129853","SN 2023jcz","15:25:17.721","+45:43:27.21","SN Ia","0.097721","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23lbp","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.818","orange-ATLAS","2023-05-22 09:00:18.144","ATLAS_Bot1","","2023TNSTR1184....1T","2023TNSCR1210....1P",""
"129804","SN 2023jbe","20:10:58.769","-56:42:50.88","SN Ia","0.052","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kzj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.882","cyan-ATLAS","2023-05-21 01:29:34.080","ATLAS_Bot1","","2023TNSTR1174....1T","2023TNSCR1192....1T",""
"129781","SN 2023jah","20:31:09.277","-44:15:44.77","SN Ia-91bg-like","0.03","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kws","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.111","cyan-ATLAS","2023-05-21 03:12:12.672","ATLAS_Bot1","","2023TNSTR1174....1T","2023TNSCR1192....1T",""
"129698","SN 2023ixf","14:03:38.562","+54:18:41.94","SN II","0.000804","M101","","ZTF, Pan-STARRS, YSE","ZTF, Pan-STARRS","None, ZTF","Pan-STARRS; YSE; ZTF","","Other - Other, P48 - ZTF-Cam, PS1 - GPC1","HCT-2m - HFOSC, LT - SPRAT, Other - Other, P60 - SEDM","1","1","","14.9","Clear-","2023-05-19 17:27:15.000","Itagaki","","2023TNSTR1158....1I","2023TNSCR1164....1P, 2023TNSCR1233....1T, 2023TNSCR1231....1B, 2023TNSCR1267....1Y",""
"129691","SN 2023iwy","18:00:18.622","+26:24:32.04","SN","0.02","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF23aakmewi","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","17.65","g-ZTF","2023-05-19 08:23:59.000","ZTF_Bot1","","2023TNSTR1160....1F","2023TNSCR1192....1T",""
"129684","SN 2023iwr","11:33:45.225","-23:38:22.84","SN Ia","0.065","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kuz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.572","cyan-ATLAS","2023-05-16 20:18:04.032","ATLAS_Bot1","","2023TNSTR1156....1T","2023TNSCR1192....1T",""
"129681","SN 2023iwo","15:58:22.793","+17:08:31.29","SN Ia","0.091","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23kub","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","ESO-NTT - EFOSC2-NTT","1","1","","18.683","cyan-ATLAS","2023-05-13 09:58:22.656","ATLAS_Bot1","","2023TNSTR1156....1T","2023TNSCR1192....1T",""
