*7650
0000+49   BD 49 4329  
0000+55   FI CAS      
0000+63   NSV 25      
0000-14   NSV 24      
0001+08   SN 2000DG   
0001+19   MARK 335    
0001+26   TT PEG      
0001+69   OR CEP      
0001+69B  STAR NW     
0001-33   SW SCL      
0002+34   V341 AND    
0002+61   LD 74       
0002-26   SY SCL      
0003+28   ALPHA AND   
0003+52   LD 77       
0003+58   BETA CAS    
0003-39   V SCL       
0004+37   V414 AND    
0004+51   SS CAS      
0004+51B  128 COMP S  
0004+54   TT CAS      
0004+62   KN CAS      
0004+63   V641 CAS    
0004-86   RU OCT      
0005-19   AC CET      
0006+29   V402 AND    
0006+47   TAV0008+47  
0006+63   LD 78       
0006-12   WW CET      
0007+22   NQ PEG      
0007+43   V345 AND    
0007+48   V338 CAS    
0007+52   LD 324      
0007+73   RV CEP      
0008+14   GAMMA PEG   
0008+47   SN 2000CZ   
0008+62   UX CAS      
0008+62B  92 VAR? N   
0009+28   UW AND
0009+46   VZ AND
0009+55   FM CAS      
0009+57   SY CAS      
0009+63   V642 CAS    
0009-03   NSV 15057   
0009-08   AD CET      
0010+46   X AND       
0010-32   S SCL       
0012+44   BB AND      
0012+49   ST CAS      
0012+56   DK CAS      
0012+65   V513 CAS    
0013+12   BY PSC      
0013+40   HP AND      
0013+41   TAV0016+41  
0013+58   TV CAS      
0013+59   V377 CAS    
0014+21   QR AND      
0014+44   VX AND      
0014+51   V535 CAS    
0014-06   SN 1999CW   
0014-09   NSV 123     
0014-74   VV TUC      
0015+02   BZ PSC      
0015+55   V592 CAS    
0015-62   CPD -62 25  
0015-74   VW TUC      
0016+58   FQ CAS      
0016-20   T CET       
0017+26   T AND       
0017+55   T CAS       
0017+55B  NSV 148     
0017+55C  94 COMP E   
0017+58   FR CAS      
0017+61   V410 CAS    
0017-12   HD 35       
0018+38   R AND       
0018+86   OS CEP      
0018-62   S TUC       
0019+53   NQ CAS      
0019+73   TZ CEP
0019-02   NSV 15086   
0019-05   CE PSC      
0019-09   S CET       
0020+50   TU CAS      
0021+08   NSV 15095   
0021+09   CG PSC      
0021+58   LD 83       
0021+59   CTM1 CAS    
0021+60   V379 CAS    
0022+17   TV PSC      
0022+30   YZ AND      
0022+30B  VAR? SW     
0022+35   AQ AND      
0022+53   NSV 165     
0022-01   EN CET      
0022-12   AG CET      
0023+29   NSV 170     
0023+30   NSV 175     
